Date Time,Open,High,Low,Close,Volume,Adj Close
02-01-2020 14:45,943.25,945,941.75,944.75,370,944.75
02-01-2020 15:00,945.75,946.75,945.25,946,41,946
02-01-2020 15:15,946.75,946.75,945,945,9,945
02-01-2020 15:30,947,947.25,945.75,945.75,13,945.75
02-01-2020 15:45,946.5,947.5,946.5,947.5,4,947.5
02-01-2020 16:00,948,949,947.5,949,53,949
02-01-2020 16:15,949,949,947.25,947.25,13,947.25
02-01-2020 16:30,946.25,946.25,944.5,944.5,158,944.5
02-01-2020 16:45,944.25,945.25,944,945.25,18,945.25
02-01-2020 17:00,945.5,945.5,945.5,945.5,16,945.5
02-01-2020 17:15,947,947.25,947,947.25,4,947.25
02-01-2020 17:30,947,947,947,947,1,947
02-01-2020 17:45,947,947,947,947,7,947
02-01-2020 18:00,947.75,947.75,947.75,947.75,32,947.75
02-01-2020 18:15,947.5,947.5,947.5,947.5,1,947.5
02-01-2020 18:30,946.5,946.5,946.5,946.5,2,946.5
02-01-2020 18:45,945.75,945.75,944.5,944.5,54,944.5
02-01-2020 19:00,943.75,943.75,943.5,943.75,41,943.75
02-01-2020 19:15,946,946,943.25,944.5,486,944.5
02-01-2020 19:30,943.5,943.75,943.25,943.25,15,943.25
03-01-2020 01:15,944.5,944.5,944.25,944.25,32,944.25
03-01-2020 01:30,945.25,945.25,945.25,945.25,3,945.25
03-01-2020 02:15,945,945,945,945,1,945
03-01-2020 03:00,942.5,942.5,942.5,942.5,20,942.5
03-01-2020 03:15,942.5,942.5,942.5,942.5,12,942.5
03-01-2020 03:30,942.25,942.5,942,942.5,20,942.5
03-01-2020 09:00,939.5,939.5,939.5,939.5,2,939.5
03-01-2020 12:15,937.25,937.25,937.25,937.25,1,937.25
03-01-2020 12:30,937.5,937.5,937.5,937.5,5,937.5
03-01-2020 13:45,938,938,937.75,937.75,9,937.75
03-01-2020 14:45,938.5,938.5,937.5,937.5,15,937.5
03-01-2020 15:00,937.25,937.25,934,934,190,934
03-01-2020 15:15,933,933,932,932,367,932
03-01-2020 15:30,932,932,927,928,47,928
03-01-2020 15:45,927,928.75,926.75,928.75,16,928.75
03-01-2020 16:30,929.5,929.5,928.5,928.5,28,928.5
03-01-2020 16:45,928,928,928,928,3,928
03-01-2020 17:00,928.5,928.5,928.5,928.5,6,928.5
03-01-2020 17:15,929.75,930,929.75,930,10,930
03-01-2020 17:30,930.25,930.5,930.25,930.5,8,930.5
03-01-2020 17:45,930.75,931,930.75,931,6,931
03-01-2020 18:00,929.75,930.25,929.75,930.25,7,930.25
03-01-2020 18:15,929,929,929,929,16,929
03-01-2020 18:30,928.5,928.5,928.5,928.5,4,928.5
03-01-2020 18:45,929.75,929.75,929.75,929.75,1,929.75
03-01-2020 19:00,930,930,930,930,6,930
03-01-2020 19:15,930,930.75,930,930.75,117,930.75
03-01-2020 19:30,930,930,930,930,47,930
06-01-2020 01:15,929.25,930,929.25,930,12,930
06-01-2020 10:15,929.5,929.5,929.5,929.5,1,929.5
06-01-2020 13:00,929.25,929.25,929.25,929.25,2,929.25
06-01-2020 13:15,929.25,929.25,929.25,929.25,10,929.25
06-01-2020 13:30,929,929.25,929,929.25,15,929.25
06-01-2020 14:45,929.75,933,929.75,933,11,933
06-01-2020 15:00,932.75,932.75,932.5,932.5,5,932.5
06-01-2020 15:15,933,934.75,933,934.75,7,934.75
06-01-2020 15:30,933,933.5,933,933.5,2,933.5
06-01-2020 15:45,934.25,934.25,934.25,934.25,2,934.25
06-01-2020 16:00,933.75,933.75,933.75,933.75,10,933.75
06-01-2020 16:15,934,934,934,934,8,934
06-01-2020 16:30,935.25,936.25,935.25,936.25,111,936.25
06-01-2020 17:00,935.25,935.5,935.25,935.5,77,935.5
06-01-2020 17:15,934.75,935.75,934.75,935.25,17,935.25
06-01-2020 17:30,935.25,935.25,934.25,935,30,935
06-01-2020 17:45,933.75,934.25,933.75,934.25,2,934.25
06-01-2020 18:00,933.75,933.75,933.75,933.75,1,933.75
06-01-2020 18:15,934.5,934.75,934.5,934.75,8,934.75
06-01-2020 19:15,933.25,933.25,933.25,933.25,10,933.25
06-01-2020 19:30,932.25,932.5,932.25,932.5,13,932.5
07-01-2020 01:15,933.5,934.25,933.5,934.25,6,934.25
07-01-2020 13:00,931,931,930.75,930.75,7,930.75
07-01-2020 13:45,933,933,933,933,1,933
07-01-2020 14:45,929.5,930.75,929.5,930.75,2,930.75
07-01-2020 15:00,931.5,931.5,931.5,931.5,2,931.5
07-01-2020 15:30,928.75,928.75,928.75,928.75,11,928.75
07-01-2020 15:45,930.25,930.75,930,930,19,930
07-01-2020 16:00,930.25,930.25,930.25,930.25,1,930.25
07-01-2020 17:00,929.5,929.5,929.5,929.5,2,929.5
07-01-2020 17:15,930,930,930,930,1,930
07-01-2020 18:00,932.75,932.75,932.75,932.75,2,932.75
07-01-2020 18:15,934,934,934,934,2,934
07-01-2020 18:30,934.75,934.75,934.75,934.75,1,934.75
07-01-2020 18:45,934.75,934.75,934.75,934.75,9,934.75
07-01-2020 19:00,934.25,934.25,934.25,934.25,1,934.25
08-01-2020 15:00,936.25,937.5,936.25,937.5,28,937.5
08-01-2020 15:15,938,938,936.5,936.75,8,936.75
08-01-2020 15:30,938,939.25,938,938,24,938
08-01-2020 16:15,935.75,936.5,935.75,936.5,4,936.5
08-01-2020 17:00,938.25,938.5,938.25,938.5,9,938.5
08-01-2020 17:15,940,940,940,940,1,940
08-01-2020 17:30,939.5,939.5,939.5,939.5,1,939.5
08-01-2020 17:45,939.75,940,939.75,940,2,940
08-01-2020 18:30,939.75,939.75,939.75,939.75,1,939.75
08-01-2020 19:00,938.75,938.75,938.25,938.25,3,938.25
09-01-2020 13:15,943.25,943.25,943.25,943.25,1,943.25
09-01-2020 14:45,934.75,934.75,934.75,934.75,4,934.75
09-01-2020 15:00,935.25,935.25,935.25,935.25,1,935.25
09-01-2020 15:30,934,935.25,934,935.25,5,935.25
09-01-2020 16:30,934.25,935,934.25,935,3,935
09-01-2020 17:15,933.25,933.25,933.25,933.25,1,933.25
09-01-2020 17:45,932,932,932,932,1,932
09-01-2020 18:15,932,932,932,932,1,932
09-01-2020 18:30,931,931.5,931,931.5,16,931.5
09-01-2020 18:45,931,931,931,931,2,931
09-01-2020 19:15,931.5,933.75,931.25,933.75,24,933.75
09-01-2020 19:30,933.75,933.75,933.75,933.75,54,933.75
10-01-2020 01:15,931.5,935,931.5,935,3,935
10-01-2020 13:45,934.25,934.25,934.25,934.25,5,934.25
10-01-2020 15:00,933.5,933.5,933.5,933.5,4,933.5
10-01-2020 15:45,935.5,935.5,935.5,935.5,1,935.5
10-01-2020 17:15,927.5,932.25,927.5,932.25,10,932.25
10-01-2020 18:00,934,934.75,934,934.75,3,934.75
13-01-2020 01:15,938.5,938.5,938.5,938.5,2,938.5
13-01-2020 12:45,930,930,930,930,2,930
13-01-2020 14:45,929.75,930.75,929.75,930.75,4,930.75
13-01-2020 15:00,931,931,931,931,1,931
13-01-2020 16:45,929.5,929.5,929.5,929.5,1,929.5
13-01-2020 18:00,930,930,930,930,1,930
14-01-2020 02:45,929,929,929,929,1,929
14-01-2020 14:45,932.75,932.75,932.75,932.75,2,932.75
